                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2906,                 4.1175,                 4.2751,                0.00482,                0.48908,                0.00702,                0.00346,                 3.4335,                 3.5948,                 4.1569,                0.00015,                0.00015,                0.00015
                      2,                 3.2665,                 3.9964,                 4.1982,                0.00443,                0.48908,                0.00902,                0.00469,                 3.4028,                  3.576,                 4.1438,             0.00030631,             0.00030631,             0.00030631
                      3,                 3.3493,                  3.869,                 4.1297,                0.00446,                0.48526,                 0.0161,                0.00654,                 3.2882,                 3.5403,                 4.0918,             0.00045619,             0.00045619,             0.00045619
                      4,                 3.1624,                 3.6151,                 3.9935,                0.00444,                 0.4877,                0.01459,                0.00717,                 3.1854,                 3.5527,                 4.0428,             0.00059963,             0.00059963,             0.00059963
                      5,                 3.0987,                 3.4388,                 3.8293,                0.00443,                0.49237,                0.05862,                0.02592,                 3.2058,                 3.4937,                 4.0718,             0.00073664,             0.00073664,             0.00073664
                      6,                 3.1124,                 3.2964,                 3.6715,                0.00446,                0.49237,                0.03196,                0.01313,                 3.2889,                 3.4719,                 4.1571,             0.00086721,             0.00086721,             0.00086721
                      7,                 3.0068,                 3.1518,                 3.4966,                0.00477,                0.48579,                0.03843,                0.01344,                 3.4827,                 3.6039,                 4.3061,             0.00099135,             0.00099135,             0.00099135
                      8,                 2.9271,                 2.9496,                 3.3594,                0.54571,                0.07061,                0.04127,                0.01045,                 3.1225,                 3.4212,                 3.4973,              0.0010768,              0.0010768,              0.0010768
                      9,                 2.9115,                 2.9014,                 3.2971,                0.31535,                0.07824,                0.04716,                0.01382,                 2.8386,                 3.4891,                 3.1952,               0.001052,               0.001052,               0.001052
                     10,                 2.7403,                 2.7641,                   3.13,                 0.3569,                0.18404,                0.12136,                0.03654,                 2.5354,                 3.0391,                 2.9784,              0.0010273,              0.0010273,              0.0010273
                     11,                 2.6486,                 2.7288,                 3.0905,                0.60008,                0.15892,                0.14535,                0.05037,                 2.5139,                 2.8181,                 2.9629,              0.0010025,              0.0010025,              0.0010025
                     12,                 2.5668,                 2.6665,                 3.0145,                0.49256,                0.14861,                0.19887,                0.06582,                 2.4597,                 2.7602,                 2.8787,             0.00097775,             0.00097775,             0.00097775
                     13,                 2.6193,                 2.6513,                  3.011,                0.52255,                0.35335,                0.22503,                 0.0683,                  2.531,                 5.6521,                 3.1949,               0.000953,               0.000953,               0.000953
                     14,                 2.4903,                 2.5322,                 2.9122,                0.73237,                0.27863,                0.31386,                0.11226,                 2.4251,                 2.6949,                 2.7571,             0.00092825,             0.00092825,             0.00092825
                     15,                 2.4182,                 2.4755,                 2.8333,                0.54123,                0.41477,                0.41364,                0.13696,                 2.4278,                 2.0979,                 2.7641,              0.0009035,              0.0009035,              0.0009035
                     16,                 2.3933,                 2.4689,                 2.8227,                0.45506,                0.40486,                0.38975,                0.13496,                 2.3462,                 2.3723,                 2.7402,             0.00087875,             0.00087875,             0.00087875
                     17,                 2.3689,                 2.4103,                 2.7298,                0.29012,                0.57217,                0.44536,                0.18597,                 2.1019,                 2.2146,                 2.5237,               0.000854,               0.000854,               0.000854
                     18,                 2.2774,                 2.3113,                 2.6722,                0.36678,                0.60431,                0.48579,                0.22033,                 2.0314,                 1.9338,                 2.4192,             0.00082925,             0.00082925,             0.00082925
                     19,                 2.2377,                 2.2454,                 2.6406,                0.48439,                0.57217,                0.57775,                0.26377,                 1.9806,                 1.8605,                  2.372,              0.0008045,              0.0008045,              0.0008045
                     20,                 2.2137,                  2.168,                 2.6001,                0.50602,                0.54796,                0.52899,                 0.2572,                 1.9924,                 1.8098,                 2.4396,             0.00077975,             0.00077975,             0.00077975
                     21,                 2.2153,                 2.1178,                  2.617,                0.48182,                0.58308,                0.61226,                0.29469,                 1.9218,                 1.8833,                 2.3211,               0.000755,               0.000755,               0.000755
                     22,                 2.1532,                 2.0545,                 2.5257,                0.53656,                0.68453,                0.65885,                0.31643,                 1.9623,                 1.4977,                  2.327,             0.00073025,             0.00073025,             0.00073025
                     23,                 2.0618,                 1.9694,                 2.4448,                0.54346,                0.60811,                0.70515,                0.37225,                 1.8487,                 1.5326,                 2.2486,              0.0007055,              0.0007055,              0.0007055
                     24,                 2.0387,                 1.9631,                 2.4827,                0.63056,                0.53669,                0.66231,                0.34901,                 1.8253,                  1.474,                 2.2961,             0.00068075,             0.00068075,             0.00068075
                     25,                 2.0092,                 1.8734,                 2.4067,                0.70889,                0.55867,                0.72627,                0.36371,                 1.8441,                 1.9237,                 2.2526,               0.000656,               0.000656,               0.000656
                     26,                 1.9731,                 1.8428,                 2.3725,                0.59557,                0.69095,                0.76772,                0.37581,                 1.7955,                 1.4759,                 2.1668,             0.00063125,             0.00063125,             0.00063125
                     27,                  2.001,                 1.8319,                 2.3737,                0.65961,                 0.6993,                0.73392,                0.35864,                 1.8178,                 1.4586,                 2.1995,              0.0006065,              0.0006065,              0.0006065
                     28,                 1.9304,                 1.7805,                  2.326,                 0.7018,                0.77682,                0.81059,                0.42203,                 1.7623,                 1.4026,                 2.2321,             0.00058175,             0.00058175,             0.00058175
                     29,                 1.9124,                 1.7362,                 2.2884,                0.62331,                 0.7873,                0.83762,                0.44185,                 1.6976,                 1.2836,                 2.1109,               0.000557,               0.000557,               0.000557
                     30,                 1.8885,                 1.7009,                 2.2869,                0.63084,                0.76543,                0.83155,                0.38937,                 1.9024,                 1.3248,                 2.2153,             0.00053225,             0.00053225,             0.00053225
                     31,                 1.8629,                 1.6459,                 2.2345,                 0.7536,                0.79996,                0.86597,                0.47899,                 1.5744,                 1.1592,                 2.0011,              0.0005075,              0.0005075,              0.0005075
                     32,                 1.8301,                 1.5846,                 2.2178,                0.84878,                0.82636,                0.87492,                0.48856,                 1.6411,                 1.1077,                 2.0464,             0.00048275,             0.00048275,             0.00048275
                     33,                 1.7876,                 1.5336,                 2.1868,                0.90539,                0.73956,                 0.8914,                0.46754,                 1.6862,                 1.1103,                 2.0862,               0.000458,               0.000458,               0.000458
                     34,                 1.8055,                 1.5675,                 2.2158,                0.83397,                0.82122,                0.90069,                0.49021,                 1.6206,                 1.0769,                   2.03,             0.00043325,             0.00043325,             0.00043325
                     35,                 1.7803,                 1.4782,                 2.1675,                0.88731,                0.83092,                0.90897,                0.52039,                 1.5397,                 1.1033,                 1.9834,              0.0004085,              0.0004085,              0.0004085
                     36,                  1.756,                 1.5325,                 2.1572,                0.83545,                0.83777,                0.91067,                0.52531,                  1.506,                 1.1043,                 1.9137,             0.00038375,             0.00038375,             0.00038375
                     37,                 1.7217,                 1.4659,                 2.0988,                0.93382,                0.84266,                0.93463,                0.53816,                 1.5547,                 1.0262,                 1.9711,               0.000359,               0.000359,               0.000359
                     38,                   1.71,                 1.4203,                 2.1031,                0.88686,                0.86763,                0.93081,                0.54441,                 1.5189,                  1.021,                 1.9372,             0.00033425,             0.00033425,             0.00033425
                     39,                 1.7067,                 1.4043,                 2.0758,                0.86252,                0.88395,                0.92777,                0.52689,                 1.4973,                 1.0223,                 1.9112,              0.0003095,              0.0003095,              0.0003095
                     40,                 1.6213,                 1.3977,                  2.032,                0.91731,                0.83286,                0.93344,                0.54449,                 1.4966,                 1.0334,                 1.9413,             0.00028475,             0.00028475,             0.00028475
                     41,                  1.535,                 1.6435,                 1.9646,                0.92437,                0.85383,                 0.9413,                0.49535,                 1.6347,                 1.0914,                 2.0109,                0.00026,                0.00026,                0.00026
                     42,                  1.505,                 1.4109,                 1.9012,                 0.9445,                0.83385,                0.94254,                0.56325,                 1.4519,                 1.0046,                 1.8348,             0.00023525,             0.00023525,             0.00023525
                     43,                 1.5498,                  1.396,                 1.9248,                0.91797,                0.87474,                0.93802,                0.57708,                 1.3786,                0.93632,                 1.7806,              0.0002105,              0.0002105,              0.0002105
                     44,                 1.4985,                 1.3415,                 1.9182,                0.90429,                0.83175,                0.92697,                0.54965,                 1.4306,                0.94598,                 1.8014,             0.00018575,             0.00018575,             0.00018575
                     45,                 1.4609,                 1.2901,                 1.8555,                0.94538,                0.85045,                 0.9487,                0.57896,                 1.3956,                0.94781,                 1.7838,               0.000161,               0.000161,               0.000161
                     46,                 1.4343,                 1.2313,                 1.8648,                 0.9023,                0.91459,                0.96078,                0.58916,                 1.3826,                0.90057,                 1.7886,             0.00013625,             0.00013625,             0.00013625
                     47,                 1.4301,                 1.2545,                 1.8871,                0.89068,                0.93483,                0.96077,                0.57884,                 1.4028,                0.92043,                 1.8171,              0.0001115,              0.0001115,              0.0001115
                     48,                 1.4109,                 1.1866,                 1.8367,                0.90494,                0.93302,                0.96648,                0.61138,                  1.337,                0.87801,                 1.7558,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                  1.357,                 1.1586,                 1.8077,                0.91163,                0.94617,                0.97066,                0.62096,                 1.3077,                0.84354,                 1.7332,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                 1.3603,                 1.1646,                 1.7821,                0.94904,                0.94093,                0.97151,                0.62602,                 1.2896,                0.82281,                 1.7185,              3.725e-05,              3.725e-05,              3.725e-05
